Thu Apr  6 00:44:02 2023    profile_worker_32537.prof

         203717 function calls (197819 primitive calls) in 9.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    0.000    0.000    0.000    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:1057(_escape_cdata)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/attributes.py:543(__get__)
       22    0.000    0.000    0.003    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/strategies.py:66(_register_attribute)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/coercions.py:1173(_post_coercion)
      400    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:701(writable)
      200    0.000    0.000    0.000    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:551(__init__)
      453    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:422(__contains__)
      200    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:379(_create_cb_wrapper)
       22    0.000    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/attributes.py:2561(register_attribute_impl)
      498    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1269(memo)
      200    0.000    0.000    0.001    0.000 /usr/lib/python3.8/contextlib.py:381(_exit_wrapper)
      8/1    0.000    0.000    0.007    0.007 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/visitors.py:131(_compiler_dispatch)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py:1538(pre_exec)
      500    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.006    0.006 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:901(create_for_statement)
      513    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      500    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      500    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       24    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/annotation.py:274(_as_annotated_instance)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:949(_gen_cache_key)
        5    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      200    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      523    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:895(mapper)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/queue.py:175(get)
        2    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:2829(__clause_element__)
       22    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/properties.py:385(_orm_annotate_column)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1318(memo)
      200    0.000    0.000    0.000    0.000 {method 'iter' of 'xml.etree.ElementTree.Element' objects}
       26    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/base.py:136(__init__)
     29/4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:416(get_cls_kwargs)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:521(<listcomp>)
    50/49    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1124(__get__)
      500    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/loading.py:195(<listcomp>)
      100    0.000    0.000    0.000    0.000 {function SocketIO.close at 0x7f4bf368e700}
      204    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       22    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/attributes.py:456(__getattr__)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/interfaces.py:992(_get_strategy)
       13    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1135(__get__)
      200    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        4    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/base.py:440(__get__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py:714(checkout)
        1    0.000    0.000    0.004    0.004 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:4192(_do_configure_registries)
       34    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/attr.py:325(__init__)
        2    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/visitors.py:550(_generate_dispatcher)
        2    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/base.py:151(<dictcomp>)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:1455(__getattr__)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:5081(__init__)
        1    0.000    0.000    0.001    0.001 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:3253(raw_connection)
        1    0.000    0.000    0.007    0.007 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:4380(visit_select)
       22    0.000    0.000    0.003    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/strategies.py:238(init_class_attribute)
      100    0.000    0.000    0.000    0.000 {method '_checkWritable' of '_io._IOBase' objects}
        1    0.000    0.000    0.008    0.008 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:1181(__init__)
       30    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:2441(_log)
       36    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/base.py:169(_event_descriptors)
      107    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:382(__getitem__)
       30    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/attr.py:374(__call__)
       22    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/properties.py:430(_memoized_method___clause_element__)
      200    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
      9/1    0.000    0.000    0.004    0.004 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:4157(_configure_registries)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:1443(comparator)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/attributes.py:816(__init__)
       26    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/base.py:179(_for_class)
       24    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/annotation.py:125(_annotate)
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:395(__setitem__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:4649(_compose_select_body)
      200    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/attributes.py:1200(__init__)
      100    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       30    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:2426(_log_desc)
      100    0.000    0.000    0.000    0.000 {built-in method _socket.getdefaulttimeout}
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/interfaces.py:1078(_strategy_lookup)
        4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:3191(_filter_properties)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/encodings/__init__.py:70(search_function)
       23    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1315(oneshot)
      200    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:479(__enter__)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:4774(_gen_tq_label)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:1747(_autobegin_t)
        4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:6781(_requires_quotes)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py:1262(_checkout)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:1027(adapt)
        4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:2334(visit_column)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:4114(_add_to_result_map)
       24    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:372(_set_propagate_attrs)
        1    0.000    0.000    0.001    0.001 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:131(__init__)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/instrumentation.py:405(post_configure_attribute)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:859(__init__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:1080(_setup_for_generate)
       22    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/properties.py:464(_fallback_getattr)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:2232(_generate_columns_plus_names)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py:447(connect)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/strategies.py:200(__init__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py:824(get_connection)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/interfaces.py:1382(__init__)
        2    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:789(_type_affinity)
       17    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/base.py:158(__getattr__)
        3    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:4155(_label_select_column)
       22    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/interfaces.py:1049(do_init)
        9    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/events.py:884(wrap)
      200    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
      100    0.000    0.000    0.000    0.000 {method 'close' of 'xml.etree.ElementTree.XMLParser' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codecs.py:94(__new__)
       34    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1689(isEnabledFor)
       26    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/_collections.py:310(__iter__)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1405(constructor_copy)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:997(_take_snapshot)
       22    0.000    0.000    0.003    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/interfaces.py:1053(post_instrument_class)
     10/2    0.000    0.000    0.005    0.002 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:2366(_check_configure)
      234    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       22    0.000    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/base.py:456(__get__)
        2    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:4641(_normalize_froms)
       22    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/interfaces.py:536(init)
       22    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/properties.py:299(do_init)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/path_registry.py:320(per_mapper)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:1191(_path_registry)
        1    0.000    0.000    0.008    0.008 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:285(_compiler)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/pool/impl.py:142(_do_get)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/path_registry.py:506(__init__)
        1    0.000    0.000    0.005    0.005 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:2416(to_compile_state)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/loading.py:719(_setup_entity_query)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:2627(setup_compile_state)
      100    0.000    0.000    0.000    0.000 {method 'gettimeout' of '_socket.socket' objects}
        2    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/cache_key.py:135(_generate_cache_attrs)
      100    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        9    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/visitors.py:510(dispatch)
        1    0.000    0.000    0.007    0.007 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:665(__init__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/path_registry.py:636(__init__)
        2    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:4569(_column_naming_convention)
        4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:3362(self_and_descendants)
        1    0.000    0.000    0.005    0.005 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:2506(__init__)
        4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/ext/mutable.py:632(listen_for_type)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:1080(_begin_impl)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/decl_api.py:1335(_mappers_to_configure)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:3100(visit_binary)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:4673(<listcomp>)
        1    0.000    0.000    0.007    0.007 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:754(process)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/log.py:101(_should_log_debug)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/_collections.py:566(_manage_size)
       24    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/base.py:182(_for_instance)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:1482(_simple_statement)
       44    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/instrumentation.py:324(_attr_has_impl)
        1    0.000    0.000    0.001    0.001 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:4617(_get_froms)
        1    0.000    0.000    0.000    0.000 {sqlalchemy.cyextension.resultproxy.tuplegetter}
      6/3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/path_registry.py:747(_getitem)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/interfaces.py:758(_parentmapper)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:2649(__init__)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/annotation.py:94(_gen_annotations_cache_key)
       66    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1297(_fallback_getattr)
       48    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'collections.deque' objects}
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:2871(selectable)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/interfaces.py:771(adapter)
        5    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:876(dialect_impl)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:176(__init__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:379(_inspect_func_args)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:1001(_static_cache_key)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:2519(_generate_delimited_and_list)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:343(__init__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:359(_column_naming_convention)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/typing.py:255(inner)
        6    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:976(_dialect_info)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:784(begin)
        1    0.000    0.000    0.006    0.006 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:626(create_for_statement)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py:544(type_descriptor)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/encodings/utf_8.py:33(getregentry)
        4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:2386(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:752(__add__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:3376(visit_bindparam)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/encodings/__init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/cursor.py:344(__init__)
       48    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/_collections.py:311(<genexpr>)
        4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/_collections.py:291(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_weakrefset.py:20(__enter__)
        1    0.000    0.000    0.001    0.001 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:4510(__init__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:174(_row_as_tuple_getter)
       66    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/attributes.py:777(__init__)
        4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:2422(_expire_memoizations)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/base.py:335(manager_of_class)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/operators.py:2526(is_precedent)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:341(notify)
       13    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/annotation.py:99(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:3644(bindparam_string)
        2    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/path_registry.py:155(set)
        1    0.000    0.000    0.001    0.001 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:3228(connect)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/dialects/postgresql/json.py:223(__init__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:221(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/base.py:186(_join)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:2321(adapt_type)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1436(info)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:851(safe_merge)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:4580(go)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:935(_cached_result_processor)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/sqltypes.py:2422(__init__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:6265(_all_selected_columns)
        1    0.000    0.000    0.005    0.005 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/mapper.py:2682(_post_inspect)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:2206(_select_args)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:436(keys)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:1161(_tuple_getter)
        1    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:3861(_from_objects)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/typing.py:720(__hash__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:3186(_generate_generic_binary)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:2671(_connection_begin_impl)
       22    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/attributes.py:476(__str__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/path_registry.py:736(__init__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:2969(<listcomp>)
       24    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/annotation.py:288(__new__)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:4631(<listcomp>)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/interfaces.py:1006(setup)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/queue.py:223(_empty)
        2    0.000    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/visitors.py:537(generate_dispatch)
        4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/_collections.py:178(__init__)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/coercions.py:1042(_literal_coercion)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1675(getEffectiveLevel)
        9    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:6835(quote)
       12    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:163(_getter)
        1    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/cursor.py:494(_merge_cursor_description)
       48    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/_collections.py:312(<genexpr>)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:993(_gen_dialect_impl)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:360(_commit_removals)
        3    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:1569(__contains__)
        4    0.000    0.000    0.000    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/ext/mutable.py:739(_listen_for_type)
