Thu Apr  6 00:44:02 2023    profile_worker_32537.prof

         203717 function calls (197819 primitive calls) in 9.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      502    0.002    0.000    0.045    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1266(oneshot)
 1500/500    0.002    0.000    0.063    0.000 {built-in method _operator.eq}
      100    0.002    0.000    0.007    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:1307(XML)
     1999    0.002    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/annotation.py:373(__hash__)
      500    0.002    0.000    0.292    0.001 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:243(orm_execute_statement)
      500    0.002    0.000    0.016    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:2783(_construct_for_op)
      500    0.002    0.000    0.004    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/state_changes.py:94(_go)
      500    0.002    0.000    0.003    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:2296(__init__)
      100    0.002    0.000    0.591    0.006 testserver.py:28(handleCon)
     1000    0.002    0.000    0.005    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:703(_generate)
      100    0.002    0.000    8.802    0.088 /usr/lib/python3.8/socket.py:285(accept)
      500    0.002    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:410(_row_getter)
      999    0.002    0.000    0.061    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/annotation.py:376(__eq__)
1803/1585    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
      500    0.002    0.000    0.019    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:5161(<listcomp>)
     2001    0.002    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/event/attr.py:389(__bool__)
      200    0.002    0.000    0.046    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:1116(tostring)
      500    0.002    0.000    0.004    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/base.py:518(_inspect_mapped_class)
      500    0.002    0.000    0.024    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/_selectable_constructors.py:452(select)
     2100    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
      500    0.002    0.000    0.003    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:2226(_soft_close)
      500    0.002    0.000    0.006    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py:1185(<listcomp>)
      500    0.002    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/loading.py:934(<dictcomp>)
      500    0.002    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
     3100    0.002    0.000    0.002    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:1073(_escape_attrib)
      500    0.002    0.000    0.007    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/inspection.py:84(inspect)
      500    0.002    0.000    0.004    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:5983(where)
      500    0.002    0.000    0.021    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:5154(__init__)
      500    0.002    0.000    0.007    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:1970(_connection_for_bind)
      200    0.002    0.000    0.002    0.000 /usr/lib/python3.8/contextlib.py:429(callback)
     1000    0.002    0.000    0.016    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/cache_key.py:320(<listcomp>)
     1400    0.002    0.000    0.020    0.000 {built-in method builtins.next}
      500    0.002    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:876(from_execution_options)
      500    0.002    0.000    0.022    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:1305(fetchone)
     1000    0.002    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:1402(self_group)
     1000    0.001    0.000    0.007    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/loading.py:179(chunks)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1222(_set_memoized_attribute)
      500    0.001    0.000    0.002    0.000 /home/za53/ece568/erss-hwk3-zs149-za53/response.py:60(order_response)
      100    0.001    0.000    0.015    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
     1000    0.001    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/cursor.py:1532(_soft_close)
     2000    0.001    0.000    0.003    0.000 /usr/lib/python3.8/encodings/utf_8.py:15(decode)
      100    0.001    0.000    0.543    0.005 /home/za53/ece568/erss-hwk3-zs149-za53/handler.py:12(handle)
      503    0.001    0.000    0.003    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:5132(__new__)
      500    0.001    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/selectable.py:3782(with_for_update)
      500    0.001    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1426(_next)
1492/1427    0.001    0.000    0.002    0.000 {built-in method builtins.getattr}
      500    0.001    0.000    0.003    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:2886(_autoflush)
      500    0.001    0.000    0.015    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:2246(_fetchone_impl)
      503    0.001    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:5022(__new__)
      500    0.001    0.000    0.009    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/_collections.py:531(get)
      500    0.001    0.000    0.005    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:561(_onerow_getter)
      100    0.001    0.000    0.001    0.000 /usr/lib/python3.8/socket.py:219(__init__)
      500    0.001    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/sqltypes.py:3825(_resolve_value_to_type)
      500    0.001    0.000    0.242    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:1370(execute)
      400    0.001    0.000    0.002    0.000 /usr/lib/python3.8/enum.py:313(__call__)
      500    0.001    0.000    0.007    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py:1514(create_cursor)
      500    0.001    0.000    0.003    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:1041(coerce_compared_value)
      500    0.001    0.000    0.006    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py:1532(create_default_cursor)
      200    0.001    0.000    0.003    0.000 /usr/lib/python3.8/socket.py:512(family)
      500    0.001    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:4167(_is_clean)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:677(_get_plugin_class_for_plugin)
      500    0.001    0.000    0.001    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/cursor.py:1484(_init_metadata)
      500    0.001    0.000    0.325    0.001 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:2168(execute)
      500    0.001    0.000    0.002    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/base.py:343(opt_manager_of_class)
      500    0.001    0.000    0.005    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/result.py:517(_raw_all_rows)
      500    0.001    0.000    0.062    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/properties.py:471(operate)
     1033    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      500    0.001    0.000    0.005    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/decl_api.py:1857(_inspect_decl_meta)
      500    0.001    0.000    0.006    0.000 <string>:1(with_for_update)
      200    0.001    0.000    0.001    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
